t_fit,x_obs,y_obs,x_model,y_model
36.786658469860036,88.364456,57.784378,88.3644547837853,57.78438039531003
22.903768058451938,74.283936,54.40678,74.28393362869383,54.40678148790117
6.707972294787912,60.256474,46.311462,60.256472821788506,46.31146478211918
31.35783886627009,82.13437,57.717567,82.13437004818947,57.71756736643265
52.793360770799055,101.03639,67.84934,101.03639305246456,67.84934632866093
15.573468026213762,69.284134,48.406086,69.28413443857413,48.40608510709508
27.548569433164744,77.81013,57.588833,77.81012932217126,57.58883507416393
41.94970110297156,91.29688,63.03135,91.29688608966535,63.03134855025912
57.569209794978,107.66841,65.91405,107.668410597937,65.91404832756909
25.97467359033063,76.40689,56.871525,76.40689074387267,56.871523977019564
19.57808768508262,72.313515,51.168285,72.31351423492299,51.16828552895522
52.50053999278455,100.56871,68.07376,100.56870895171106,68.07375780051228
33.99338053559405,85.40742,57.31956,85.40742000130663,57.31956002367041
12.025208133712114,65.73637,47.454475,65.73637009717179,47.45447430964618
28.291028779842822,78.559,57.776672,78.55900013079324,57.776671279135385
53.4055455053199,102.01643,67.376236,102.01643135314481,67.37623881973066
45.04170326563737,92.44081,67.234024,92.44080805717607,67.23402479863913
53.595733169687236,102.319664,67.23141,102.31966127303801,67.23140425977448
20.795856153880166,73.051186,52.32614,73.0511843131261,52.32614100920317
16.68505704558784,70.23932,48.974834,70.23931767440098,48.974837264952264
37.01007836436821,88.56056,57.891556,88.56055933459311,57.89155713379936
43.925419111971514,91.96877,65.819046,91.96877237717501,65.81904533974821
35.24178537103977,86.83264,57.347816,86.83264005812235,57.3478154957542
45.416134394520924,92.62934,67.65634,92.6293403277516,67.65633984070979
55.182328737925,104.750336,66.19454,104.75033627818947,66.19454079928165
21.612365862934205,73.5264,53.136063,73.52640013044115,53.13606292420655
46.47809397690934,93.27278,68.66579,93.27277922453027,68.66579066531408
18.07109449447876,71.30269,49.905098,71.30268939482241,49.90509857377106
11.315986142608962,64.975815,47.35335,64.97581488919327,47.353350865433896
37.61370990222097,89.05592,58.24083,89.05592078311571,58.24082906418896
52.5952857960768,100.71979,68.00157,100.71978979720075,68.00156957656634
56.34484672477288,106.31808,65.80417,106.31807940236331,65.80416497147714
58.00716338522392,108.06331,66.10597,108.06330770369652,66.10597362768947
14.05306917388852,67.84049,47.865753,67.84048991568682,47.865753303386796
31.272542179766223,82.02788,57.731422,82.0278798137077,57.73142055153534
51.409369464605064,98.86425,68.84363,98.8642494391701,68.84362865063723
20.165656129514606,72.67582,51.715893,72.67581790291428,51.71589433327085
50.750194060394996,97.88674,69.218376,97.88673970185569,69.21837513850953
37.180628928975764,88.70565,57.981354,88.70564931238252,57.98135505473518
17.2123910128024,70.66043,49.300117,70.66043060341792,49.30011627763873
48.62725329152543,95.17704,69.66583,95.17703964393645,69.6658334161908
41.0626916221924,90.98131,61.803932,90.98130348147848,61.80393384710999
22.615554159372582,74.11193,54.128273,74.11192961499744,54.1282732343312
13.638399331115874,67.423485,47.758686,67.42348442634217,47.7586884215231
24.15369551858417,75.07062,55.54406,75.07061600662558,55.54406311761097
46.55243831360029,93.32456,68.72479,93.32456291221283,68.72478738437331
45.153297790741526,92.49515,67.36309,92.49515070932864,67.36308969402207
59.631011011690546,109.09305,67.57011,109.09304542493011,67.57011153863627
23.543375673024382,74.6767,55.005707,74.67669876263153,55.00570785333168
33.44246466892165,84.74091,57.372154,84.74091032569079,57.37215726917808
32.120447583622756,83.09207,57.584,83.09206991582136,57.583999411776375
27.870986984541705,78.128586,57.682087,78.12858602037363,57.68208692167835
11.338763735710543,65.000305,47.356487,65.00030484735767,47.35648819084287
45.345844186002815,92.592575,67.57944,92.59257404401815,67.57944044967344
47.937964503687326,94.47159,69.50913,94.47158937420011,69.50913175440735
33.56724281670706,84.89339,57.357613,84.89338983787219,57.35761121882597
45.335605541896165,92.58727,67.568146,92.58727318736874,67.56814450777993
38.07165480657821,89.3978,58.564568,89.39779849250513,58.56456941338067
34.32874863439805,85.80336,57.30451,85.8033599588904,57.304507899165486
59.541376259134076,109.05394,67.45857,109.05394332449023,67.45856878556542
20.065135707866908,72.61481,51.620525,72.61480745313831,51.62052663969957
33.11195084556282,84.3335,57.416786,84.33349992473904,57.41678536481209
42.09603314146577,91.34593,63.23906,91.34593415922352,63.23905902515454
41.97500003468616,91.305405,63.06719,91.30540583856416,63.06718980096235
9.209144233092141,62.731583,47.02679,62.73158258841713,47.0267922062143
